"Octave Note","âˆ’1",0,1,2,3,4,5,6,7,8,9,10
C,"8.175799 (0)","16.35160 (12)","32.70320 (24)","65.40639 (36)","130.8128 (48)","261.6256 (60)","523.2511 (72)","1046.502 (84)","2093.005 (96)","4186.009 (108)","8372.018 (120)",16744.04
"C sharp /D flat","8.661957 (1)","17.32391 (13)","34.64783 (25)","69.29566 (37)","138.5913 (49)","277.1826 (61)","554.3653 (73)","1108.731 (85)","2217.461 (97)","4434.922 (109)","8869.844 (121)",17739.69
D,"9.177024 (2)","18.35405 (14)","36.70810 (26)","73.41619 (38)","146.8324 (50)","293.6648 (62)","587.3295 (74)","1174.659 (86)","2349.318 (98)","4698.636 (110)","9397.273 (122)",18794.55
"E flat /D sharp","9.722718 (3)","19.44544 (15)","38.89087 (27)","77.78175 (39)","155.5635 (51)","311.1270 (63)","622.2540 (75)","1244.508 (87)","2489.016 (99)","4978.032 (111)","9956.063 (123)",19912.13
E,"10.30086 (4)","20.60172 (16)","41.20344 (28)","82.40689 (40)","164.8138 (52)","329.6276 (64)","659.2551 (76)","1318.510 (88)","2637.020 (100)","5274.041 (112)","10548.08 (124)",21096.16
F,"10.91338 (5)","21.82676 (17)","43.65353 (29)","87.30706 (41)","174.6141 (53)","349.2282 (65)","698.4565 (77)","1396.913 (89)","2793.826 (101)","5587.652 (113)","11175.30 (125)",22350.61
"F sharp /G flat","11.56233 (6)","23.12465 (18)","46.24930 (30)","92.49861 (42)","184.9972 (54)","369.9944 (66)","739.9888 (78)","1479.978 (90)","2959.955 (102)","5919.911 (114)","11839.82 (126)",23679.64
G,"12.24986 (7)","24.49971 (19)","48.99943 (31)","97.99886 (43)","195.9977 (55)","391.9954 (67)","783.9909 (79)","1567.982 (91)","3135.963 (103)","6271.927 (115)","12543.85 (127)",25087.71
"A flat /G sharp","12.97827 (8)","25.95654 (20)","51.91309 (32)","103.8262 (44)","207.6523 (56)","415.3047 (68)","830.6094 (80)","1661.219 (92)","3322.438 (104)","6644.875 (116)",13289.75,26579.50
A,"13.75000 (9)","27.50000 (21)","55.00000 (33)","110.0000 (45)","220.0000 (57)","440.0000 (69)","880.0000 (81)","1760.000 (93)","3520.000 (105)","7040.000 (117)",14080.00,28160.00
"B flat /A sharp","14.56762 (10)","29.13524 (22)","58.27047 (34)","116.5409 (46)","233.0819 (58)","466.1638 (70)","932.3275 (82)","1864.655 (94)","3729.310 (106)","7458.620 (118)",14917.24,29834.48
B,"15.43385 (11)","30.86771 (23)","61.73541 (35)","123.4708 (47)","246.9417 (59)","493.8833 (71)","987.7666 (83)","1975.533 (95)","3951.066 (107)","7902.133 (119)",15804.27,31608.53
